current,speed,power
-0.076904296875,0.0,0.7721729278564453
0.00244140625,0.0,0.7715414762496948
-0.001220703125,0.0,0.8643229007720947
-0.0732421875,0.0,0.9578695297241211
0.00244140625,0.0,0.9557971954345703
-0.001220703125,0.0,0.6794060468673706
-0.076904296875,0.0,0.8643229007720947
0.00244140625,0.0,0.5872856378555298
-0.003662109375,0.0,0.7709096670150757
-0.076904296875,0.0,0.680008053779602
0.00244140625,0.0,0.7721729278564453
0.079345703125,0.0,0.680008053779602
-0.0732421875,0.0,0.7721729278564453
-0.001220703125,0.0,0.8636617660522461
0.53466796875,0.0,0.7721729278564453
-0.38818359375,-1.570796251296997,0.5878582000732422
-0.474853515625,-1.570796251296997,0.6788038015365601
-0.560302734375,-1.9896752834320068,0.8643229007720947
-0.361328125,-1.9896752834320068,0.96063232421875
-0.4638671875,-2.7227134704589844,0.7715414762496948
-0.660400390625,-3.769911050796509,0.8663065433502197
-0.65673828125,-5.759586334228516,0.9551064968109131
-0.662841796875,-9.005898475646973,0.9564878940582275
-0.67138671875,-9.42477798461914,0.7715414762496948
-0.631103515625,-12.35693073272705,0.9557971954345703
-0.665283203125,-12.35693073272705,0.9557971954345703
-0.68359375,-12.775809288024902,1.0500783920288086
-0.6640625,-15.812682151794434,0.9551064968109131
-0.60546875,-19.79203224182129,1.0486376285552979
-0.6005859375,-19.79203224182129,0.9564878940582275
-0.50537109375,-17.802356719970703,0.9585599899291992
-0.517578125,-18.011796951293945,0.8636617660522461
-0.535888671875,-19.373153686523438,0.9557971954345703
-0.455322265625,-20.00147247314453,0.9564878940582275
-0.252685546875,-19.79203224182129,0.9557971954345703
-0.338134765625,-20.420351028442383,0.7709096670150757
-0.2490234375,-21.572269439697266,0.9564878940582275
-0.1513671875,-23.77138328552246,0.8636617660522461
-0.250244140625,-23.77138328552246,0.9592506885528564
-0.3564453125,-20.00147247314453,0.8636617660522461
0.068359375,0.2094395011663437,0.8656454086303711
0.018310546875,0.0,0.7709096670150757
-0.057373046875,0.0,0.8643229007720947
0.018310546875,0.0,0.9564878940582275
-0.07080078125,0.0,0.8643229007720947
0.018310546875,0.0,0.9564878940582275
-0.01953125,0.0,0.7715414762496948
-0.560302734375,0.0,0.8669676780700684
-0.340576171875,0.0,0.772804856300354
-0.611572265625,-1.1519172191619873,0.6788038015365601
-0.74462890625,-2.1991147994995117,0.9564878940582275
-0.609130859375,-2.7227134704589844,0.8636617660522461
-1.10107421875,-3.351032018661499,0.9557971954345703
-1.156005859375,-3.560471534729004,1.1400530338287354
-1.12060546875,-3.9793505668640137,1.1400530338287354
-1.158447265625,-4.398229598999023,1.139303207397461
-1.158447265625,-5.131267547607422,1.0486376285552979
-1.07177734375,-6.178465366363525,1.326735258102417
-1.131591796875,-7.958701133728027,1.1400530338287354
-1.13525390625,-15.812682151794434,1.5076966285705566
-1.17431640625,-18.221237182617188,1.415590763092041
-0.87158203125,-22.41002655029297,1.415590763092041
-0.809326171875,-26.59881591796875,1.3251173496246338
-0.980224609375,-30.054569244384766,1.599787712097168
-0.9716796875,-29.007369995117188,1.6918935775756836
-0.78857421875,-30.054569244384766,1.5979926586151123
-0.811767578125,-32.04424285888672,1.415590763092041
-1.202392578125,-34.24335861206055,1.6918935775756836
-1.153564453125,-35.81415557861328,2.0602869987487793
-1.348876953125,-35.81415557861328,1.8731322288513184
-1.239013671875,-38.85102844238281,2.0602869987487793
-1.217041015625,-37.69911193847656,2.0613319873809814
-1.746826171875,-38.85102844238281,2.058196783065796
-1.832275390625,-37.48966979980469,2.2422754764556885
-1.89453125,-38.43214797973633,2.4310061931610107
-1.97265625,-38.01327133178711,2.612877368927002
-2.047119140625,-36.651912689208984,2.790668249130249
-1.88720703125,-36.2330322265625,2.6104328632354736
-2.215576171875,-36.442474365234375,3.52779221534729
-2.457275390625,-37.48966979980469,3.1598708629608154
-2.15087890625,-38.43214797973633,3.2547008991241455
-2.374267578125,-37.69911193847656,3.1654675006866455
-2.589111328125,-36.442474365234375,3.6259520053863525
-3.255615234375,-35.81415557861328,4.171647071838379
-3.330078125,-37.07079315185547,4.993508338928223
-3.4716796875,-37.69911193847656,4.627812385559082
-3.49609375,-37.28023147583008,5.730867385864258
-3.585205078125,-36.442474365234375,4.995497703552246
-3.583984375,-36.651912689208984,6.011252403259277
-3.7890625,-39.479347229003906,5.735319137573242
-3.883056640625,-44.087013244628906,6.006623268127441
-3.782958984375,-46.91444778442383,6.185720443725586
-3.758544921875,-49.323001861572266,5.455096244812012
-3.7255859375,-51.522117614746094,6.731792449951172
-3.702392578125,-53.51179122924805,5.547024726867676
-3.677978515625,-54.349552154541016,7.563661575317383
-3.472900390625,-54.87314987182617,6.006623268127441
-4.0869140625,-55.710906982421875,8.589841842651367
-4.127197265625,-57.28170394897461,7.931110382080078
-4.2333984375,-62.308250427246094,8.298559188842773
-4.02099609375,-64.9262466430664,7.104342460632324
-4.034423828125,-64.71680450439453,8.748262405395508
-3.720703125,-64.9262466430664,7.1962127685546875
-3.47900390625,-68.38199615478516,6.920618057250977
-3.570556640625,-71.94246673583984,7.01248836517334
-3.662109375,-71.7330322265625,7.558028221130371
-3.44970703125,-72.3613510131836,7.552396774291992
-3.9013671875,-75.60765838623047,7.01248836517334
-3.70361328125,-74.76990509033203,8.09388256072998
-3.7353515625,-73.51326751708984,6.821022987365723
-3.612060546875,-76.3406982421875,8.390414237976074
-3.75244140625,-75.60765838623047,6.920618057250977
-3.621826171875,-74.56046295166016,8.659667015075684
-3.71826171875,-75.92182159423828,7.379937171936035
-3.546142578125,-73.19910430908203,7.555212020874023
-3.709716796875,-71.52359008789062,7.552396774291992
-3.94287109375,-71.7330322265625,8.738663673400879
-3.739013671875,-71.94246673583984,7.5664777755737305
-4.124755859375,-74.97933959960938,9.200443267822266
-4.129638671875,-76.3406982421875,9.020302772521973
-3.71337890625,-76.3406982421875,8.011109352111816
-3.85009765625,-75.92182159423828,7.91937255859375
-3.58642578125,-74.35102081298828,8.274140357971191
-3.902587890625,-76.3406982421875,7.271701812744141
